"Time","Pressure drop Monitor: Pressure drop Monitor"
27.29345384610359,-8945.504699902895
27.29685384610358,-8963.91181984451
27.300273076872802,-8973.354741957968
27.30368846148818,-9013.2723401092
27.30707777772749,-9033.162655588734
27.310469230718933,-9050.605758349122
27.31386538456508,-9089.629688874105
27.317261538411223,-9132.438105473746
27.320653846103525,-9155.90441291072
27.324026923026594,-9184.42808381433
27.327407692257356,-9224.08352821375
27.330776923026576,-9253.152576756662
27.334122222171867,-9281.03031459075
27.337474074023714,-9317.795417778836
27.340807407357037,-9350.011280025908
27.344111111060734,-9382.647174921394
27.347419230718845,-9433.248372661756
27.35071111106072,-9468.254041846145
27.35402222217182,-9503.580624779373
27.357311111060703,-9547.642368943107
27.360581481431065,-9577.630689664758
27.363859259208837,-9611.632817514044
27.367114814764385,-9662.889291454674
27.370403571378134,-9690.967847730375
27.37369259254215,-9721.227976092769
27.376940740690287,-9781.357227750499
27.38017499994954,-9814.65303056123
27.383411111060642,-9852.517810384548
27.38665555550508,-9894.139992837225
27.38990357137809,-9925.434094080554
27.39307777772729,-9976.720951732274
27.396285714235216,-10012.104930301777
27.39948928566378,-10043.080473389251
27.402571428520915,-10098.299337443459
27.40577777772726,-10123.47639160128
27.408992592542067,-10143.837902861891
27.412165517190843,-10192.757856473005
27.415346428520888,-10214.846205636155
27.418585714235164,-10226.941771060574
27.421721428520872,-10261.894335141793
27.42492592587536,-10261.881563429439
27.428093103397703,-10262.277764111313
27.43121851846794,-10287.662015026435
27.43437142852084,-10283.337606036348
27.43748965512182,-10277.16594404594
27.44057037031977,-10291.168077158074
27.443735714235107,-10295.70947601135
27.44687586201835,-10280.767652749802
27.450011111060487,-10278.844312882055
27.453171428520797,-10295.933915508242
27.456360714235075,-10273.559994557889
27.459571428520782,-10261.88184361997
27.462696296245642,-10275.740225824975
27.465914285663626,-10251.781428657618
27.469110714235047,-10220.977644726761
27.47230769225702,-10193.263107673105
27.475465517190695,-10192.96820953109
27.47867777772709,-10150.805388093777
27.481889285663588,-10117.895587022243
27.48507931029412,-10092.095003943285
27.4882896551217,-10072.706066544493
27.49147777772706,-10035.42860942855
27.4946964285207,-10004.304058301412
27.497923076872343,-9970.648537113682
27.501137036986293,-9951.216638404743
27.504364285663534,-9904.77284977696
27.507562962912207,-9875.357479327133
27.510830769180004,-9822.65695114509
27.514168965466467,-9788.762318696958
27.51742222217144,-9740.398672288971
27.520734615333826,-9689.025132926594
27.524076923026126,-9623.253981344305
27.527430769179965,-9546.403389990197
27.530814285663475,-9497.486313517038
27.534176923026102,-9445.487608618563
27.53749230764148,-9396.934095487914
27.540857692256857,-9329.417967079677
27.544261538410694,-9268.677912030396
27.54763846148761,-9226.463593415525
27.55101923071837,-9184.088818854372
27.554430769179902,-9132.102254982929
27.557819230718355,-9073.97638642818
27.561243999949117,-9013.79760231919
27.56465999994911,-8973.399429476853
27.56805357137767,-8926.713283785595
27.571503999949094,-8892.44226316035
27.57489230764139,-8833.225647822355
27.57831199994908,-8767.284291195272
27.58172399994907,-8717.238946686757
27.585146153795215,-8684.91980661765
27.588595999949053,-8657.974740512807
27.59201538456443,-8608.181521301745
27.59545999994904,-8547.689335963394
27.59896799994903,-8529.23128033991
27.602465384564407,-8524.805693531114
27.605971999949013,-8508.60309504827
27.609491999949004,-8469.484044033929
27.612999999948997,-8430.52027663929
27.61649999994899,-8416.000371826785
27.61997999994898,-8402.845048588206
27.623511999948974,-8398.770376115273
27.627043999948963,-8378.167240009288
27.630571999948955,-8345.113140305328
27.634095999948947,-8334.802981378267
27.63761999994894,-8346.104815135463
27.64111599994893,-8364.756979224376
27.644619230718153,-8363.056256420348
27.648123999948915,-8342.406262447354
27.651599999948907,-8340.704885894642
27.6550759999489,-8362.275509495517
27.658559999948892,-8387.104814377915
27.66206538456427,-8387.813131137018
27.66555384610272,-8384.481811539446
27.668975999948866,-8400.758233082934
27.672419999948858,-8437.948651131193
27.675884615333466,-8472.278650012693
27.67936538456423,-8482.244063008058
27.682835999948836,-8491.37643990202
27.686291999948825,-8528.319903005291
27.689774074022893,-8565.301020743967
27.693273076871886,-8565.701358656153
27.696751999948802,-8574.605717398303
27.700175999948794,-8612.897438479085
27.703630769179554,-8648.854981687151
27.7070769230257,-8664.058525524311
27.710457692256462,-8694.226277707568
27.71381851846728,-8743.28877765999
27.717229629578384,-8764.883323199032
27.72058461533336,-8790.806851297502
27.723948148096888,-8843.599853656895
27.72734074068947,-8874.700950100392
27.730719230717952,-8892.863609667596
27.7340851851339,-8936.56217593652
27.737469230717938,-8957.029803841308
27.740861538410236,-8981.032096587316
27.74422222217091,-9010.1076116579
27.747553571377253,-9038.14642538076
27.75086538456406,-9089.203289789135
27.754196296244963,-9146.211162034388
27.757534615333274,-9169.213122306062
27.760866666615318,-9211.360093944648
27.76418461533326,-9257.565443133451
27.767455555504192,-9310.655902824245
27.77072962957826,-9368.361295637942
27.774025925874547,-9402.238898823778
27.777348148096763,-9446.446899096074
27.78066666661527,-9502.69442027876
27.78398148143008,-9526.475921755118
27.7873111110597,-9546.448821165002
27.790588888837473,-9581.871746615323
27.793828571377148,-9608.51590281042
27.797062962911532,-9646.982219532243
27.80028888883745,-9685.074706951531
27.803559259207812,-9717.723567712224
27.80682592587447,-9759.477746488667
27.810138461487,-9768.208913975708
27.81338888883742,-9797.025787379183
27.816644444392967,-9818.95586744268
27.819881481429995,-9834.454652690072
27.823111111059617,-9857.497203587882
27.826362962911464,-9869.853675486944
27.829622222170713,-9868.467225215854
27.832851851800335,-9887.435111686016
27.83604999994848,-9905.86241332725
27.839271428519897,-9912.605755854136
27.84247307687154,-9920.009360097427
27.845670370318825,-9927.581741604388
27.84890357137702,-9931.869940494213
27.852138461486902,-9944.02565840182
27.85537307687151,-9949.411676553165
27.858649999948426,-9950.926901337441
27.861918518466936,-9928.990304828581
27.865155555503964,-9924.736649308257
27.868366666615067,-9934.650645817908
27.871640740689134,-9902.776188604985
27.87483333328172,-9896.33360848578
27.87804074068912,-9887.569435103987
27.881262068913887,-9879.956540161284
27.884499999948364,-9864.833685376001
27.887751851800207,-9855.644070802013
27.89101923071758,-9850.80315778172
27.894296296244637,-9816.790638063936
27.89755555550389,-9790.391723370349
27.90079259254092,-9747.51542684383
27.90402222217054,-9734.444928379186
27.90722962957794,-9681.620118702365
27.9103962962446,-9653.868707515483
27.91358518513348,-9602.088131420274
27.916863333281622,-9567.673425240164
27.920076923025203,-9512.17440502761
