case,heat out c,heat out g,heat in c,heat in g,Total Heat source,Net heat source,T_G_avg,T_C_avg,T_G_max,T_G_min,T_C_max,T_C_min,V_C,V_G,T_air,T_steam,height,K_eff,convergence,V_C_rzone,V_G_rzone,Mass Flow air,Mass Flow steam,Mass Flow flue,Mass Flow gas,Total mass,A_C,A_G,Solver Iteration Elapsed Time,sink_gr,velo_G,velo_C,Total Solver Elapsed Time
10.0,21730890.984195355,1184063.4461750132,-9079991.368470645,-712183.8840840544,13097248.567396615,13122779.177815668,690.9645516863707,847.0641034659502,759.6778107419859,657.5123669094908,886.3847793522656,718.3500095988562,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,12540.1353938,1.001949310978384,8.712434054480878,0.4370946283735884,-16.786338906684495,-0.5359783180005026,16.791736157201704,0.5305822340584597,7.8580650794917775,41.440400000000494,2.207800000000013,0.9221930503845216,-2.25085314629628,1.0189117263949163,1.2279742613423958,2.588959470457501
11.0,21706554.584196027,1214204.4290159692,-9080176.223500507,-711935.3084582855,13097248.567392215,13128647.481253205,715.6364380380122,845.7206289671518,772.3036261370578,688.0573303774303,879.4477870675406,738.1698997751738,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,15675.169242299999,1.0023973671797877,8.712434054480878,0.4370946283735884,-16.786338894434873,-0.5359783172980662,16.792162935547413,0.5301554355566844,7.8575591713282895,41.440400000000494,2.207800000000013,1.0604450702667236,-2.2998479243771155,1.04330284242727,1.2265846031820464,3.091640193859736
12.0,21673055.68323991,1264764.0135185057,-9080432.47815319,-711517.9270521385,13097248.567393173,13145869.291553088,757.038722411644,843.8520878923117,794.2268587397334,738.9503985874788,867.3933273296623,771.7817043899182,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,25080.2707877,1.003712285363581,8.712434054480878,0.4370946283735884,-16.786339092887143,-0.5359783248694487,16.792814545100235,0.5295032559334519,7.85574738309904,41.440400000000494,2.207800000000013,1.0051431655883791,-2.3820668397050397,1.0841623584434492,1.2246509970934902,3.8394304475519387
14.0,21663918.215340912,1296586.248196919,-9080505.711701076,-711254.9791535955,13097248.567392802,13168743.77268316,783.1045668437753,843.2971221526963,808.6332875786685,770.6924318044389,860.0466070072665,793.2105437171547,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,37620.4061815,1.0054587957861891,8.712434054480878,0.4370946283735884,-16.786338830030175,-0.5359783156996397,16.793184909406637,0.5291331647140096,7.851616511085657,41.440400000000494,2.207800000000013,0.7918217182159424,-2.433829815800173,1.1098343790914793,1.2240782253907163,4.34955392089155
15.0,21667043.934018355,1310458.8346494094,-9080485.560010146,-711140.3044216486,13097248.56740217,13185876.90423597,794.4686005332361,843.4233914524268,815.1456308427456,784.4172424427628,857.1899353311211,802.6496240476563,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,47025.507726899996,1.00676694317724,8.712434054480878,0.4370946283735884,-16.78633899670177,-0.5359783216754411,16.793334614941028,0.5289830521748257,7.8476992486350134,41.440400000000494,2.207800000000013,0.7545349597930908,-2.4563971339526107,1.1210201063095813,1.2242115283272872,4.2856591199504015
16.0,21680412.406194992,1325419.5905086587,-9080390.273344152,-711016.5736242529,13097248.567391235,13214425.149735246,806.723982120336,844.0766291889818,822.4344253802319,799.088523425352,854.6931233847563,812.9367608869843,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,62700.676969199994,1.0089466563714573,8.712434054480878,0.4370946283735884,-16.786338917586598,-0.5359783193251972,16.79348647938204,0.5288310104903031,7.8403314399354205,41.440400000000494,2.207800000000013,0.819350004196167,-2.4807345393944926,1.1330836935265154,1.2248938631186728,3.8861208941539127
17.0,21698702.12094276,1335266.39265146,-9080257.900628801,-710935.1042175047,13097248.56740145,13242775.508747913,814.7896508913274,844.997220769924,827.4626468868146,808.6313519122098,853.6385010805124,819.7997297523037,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,78375.8462115,1.0111112605519814,8.712434054480878,0.4370946283735884,-16.786338912833692,-0.5359783186875076,16.793579151246398,0.5287383329625994,7.8324425487698495,41.440400000000494,2.207800000000013,0.7112100124359131,-2.49675178452427,1.1410254096484735,1.225854260034993,3.006839755707317
18.0,21758815.468024164,1127257.1217392883,-9072892.38235054,-712649.1397734354,13087972.79839657,13100531.067639476,644.7469528655781,849.5425019058945,731.9193061991319,597.5136814057958,897.1907090171795,673.4717153198817,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,6270.06769692,1.0009595274559588,8.712434054480878,0.4370946283735884,-16.782826801156553,-0.5359783210650433,16.787816844944235,0.5309896018788869,7.861053342482188,41.440400000000494,2.207800000000013,1.0450029373168943,-1.5664738646570222,0.9726927071490009,1.2303858295625791,1.816548127465778
19.0,21674551.076882657,1224002.2078347858,-9073529.0850283,-711852.2141998244,13087972.79839797,13113171.985489314,723.8128236837929,844.8753047568022,772.9561054897682,697.1964580904074,876.9409636166863,739.7667199054001,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,12540.1353938,1.0019253697634851,8.712434054480878,0.4370946283735884,-16.782826725617618,-0.5359783167086415,16.789061688713847,0.5297445227487029,7.8601438969523105,41.440400000000494,2.207800000000013,1.0282859802246094,-1.7031527790218652,1.0510809231826352,1.2255107208127538,2.6872300780481764
20.0,21656535.50201003,1247765.052481417,-9073665.763187343,-711656.0976356828,13087972.798398346,13118978.69366842,743.2493964147225,843.8746265670662,783.6480541370411,721.3730635146828,871.2844153845602,756.3327043878578,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,15675.169242299999,1.0023690372640344,8.712434054480878,0.4370946283735884,-16.782826710000812,-0.5359783173217786,16.789324761189373,0.5294812567162788,7.859977980640125,41.440400000000494,2.207800000000013,0.959604024887085,-1.7367522275872846,1.0703086523591885,1.2244656240714165,3.0414190976487268
21.0,21633929.40999001,1287460.2509125164,-9073839.09222222,-711328.247307947,13087972.798401875,13136222.32137236,775.7270383604688,842.595423016776,802.1005104730749,761.4505060761037,861.6206867328999,784.2417991526117,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,25080.2707877,1.0036865543437234,8.712434054480878,0.4370946283735884,-16.78282687517964,-0.5359783231436668,16.789730322610986,0.5290752225506696,7.8581236728339805,41.440400000000494,2.207800000000013,0.7955169677734375,-1.7928954003157642,1.1023847646238394,1.2231274802105685,3.902419326504072
24.0,21637791.236343984,1323388.8800039734,-9073816.979183014,-711031.2379587212,13087972.79840172,13176331.89920622,805.1290363100135,842.7003471602101,819.7281746824194,797.2291521923715,853.7737697038929,809.8334867236217,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,47025.507726899996,1.0067511678214438,8.712434054480878,0.4370946283735884,-16.782826757592982,-0.5359783188017114,16.790057130945275,0.5287481999319666,7.849399165657758,41.440400000000494,2.207800000000013,0.7841320037841797,-1.8437217950460592,1.1313862747885062,1.2232304869248172,4.288364158670108
25.0,21654296.915077727,1335311.7858126694,-9073697.75918762,-710932.6066398751,13087972.798400406,13204978.3350629,814.8866205790051,843.523314040283,825.9647562360574,808.8928429100409,852.0511377824989,818.4548843325208,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,62700.676969199994,1.0089399281664762,8.712434054480878,0.4370946283735884,-16.782826753676073,-0.5359783190603182,16.790153768344222,0.5286515659205959,7.841680416119822,41.440400000000494,2.207800000000013,0.7157280445098877,-1.8605894524930449,1.1410106441420065,1.2240860949653316,3.7022637957996793
